epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,207.912,1.75247,3.93507,1.70176,1.76002,0.47679,1,0.995,0.4975,0.17521,1,0.199,0.02114,1.8759,5.0318,4.59672,2.83496,0.000239444,0.000239444,0.000239444
33,214.363,1.03334,3.00605,1.79677,1.36288,0.93229,1,0.995,0.54725,0.49499,1,0.4975,0.14925,1.61425,4.63407,6.27186,2.45422,0.000234496,0.000234496,0.000234496
34,220.676,1.22669,3.75694,1.70595,1.48923,0.93229,1,0.995,0.54725,0.49499,1,0.4975,0.14925,1.61425,4.63407,6.27186,2.45422,0.000228756,0.000228756,0.000228756
35,227.459,1.11264,2.74073,2.01375,1.36505,0.31363,1,0.33167,0.18242,0,0,0,0,1.80812,4.79085,12.4856,2.42583,0.000222224,0.000222224,0.000222224
36,233.697,1.19605,3.56096,1.46417,1.40946,0.31363,1,0.33167,0.18242,0,0,0,0,1.80812,4.79085,12.4856,2.42583,0.0002149,0.0002149,0.0002149
37,239.618,1.23857,3.15786,1.61213,1.36599,0.33156,1,0.33167,0.06668,0,0,0,0,2.59086,5.33942,6.51201,3.87186,0.000206784,0.000206784,0.000206784
38,245.183,1.47499,3.60309,2.21253,1.71369,0.33156,1,0.33167,0.06668,0,0,0,0,2.59086,5.33942,6.51201,3.87186,0.000197876,0.000197876,0.000197876
39,251.065,1.25847,3.17932,1.38961,1.3587,0.00333,1,0.00626,0.00188,0,0,0,0,2.00404,5.62988,7.32507,2.91912,0.000188176,0.000188176,0.000188176
40,256.929,1.16686,3.32147,1.36698,1.57608,0.00333,1,0.00626,0.00188,0,0,0,0,2.00404,5.62988,7.32507,2.91912,0.000177684,0.000177684,0.000177684
41,263.189,1.6164,3.23027,2.28663,2.47451,0.00333,1,0.00575,0.00238,0,0,0,0,1.7634,5.87361,6.61378,2.3525,0.0001664,0.0001664,0.0001664
42,268.883,1.09837,2.76556,1.97681,1.7167,0.00333,1,0.00575,0.00238,0,0,0,0,1.7634,5.87361,6.61378,2.3525,0.000154324,0.000154324,0.000154324
43,274.919,0.56697,2.61499,1.53551,0.9841,0.00333,1,0.00459,0.00269,0,0,0,0,1.78005,6.0538,8.20325,2.41812,0.000141456,0.000141456,0.000141456
44,280.449,0.72197,2.37249,1.3956,1.00783,0.00333,1,0.00459,0.00269,0,0,0,0,1.78005,6.0538,8.20325,2.41812,0.000127796,0.000127796,0.000127796
45,286.224,1.01888,2.60812,1.56727,1.59593,0.38062,1,0.4975,0.1011,0,0,0,0,2.16029,6.29333,11.2661,3.00211,0.000113344,0.000113344,0.000113344
46,292.006,0.68269,2.3655,1.28555,0.98402,0.38062,1,0.4975,0.1011,0,0,0,0,2.16029,6.29333,11.2661,3.00211,9.81e-05,9.81e-05,9.81e-05
47,297.686,0.96476,2.30645,1.63599,1.36565,0.29062,1,0.4975,0.15033,0,0,0,0,2.41808,6.43784,12.1575,3.38361,8.2064e-05,8.2064e-05,8.2064e-05
48,303.102,1.1698,2.63059,1.30851,1.19865,0.29062,1,0.4975,0.15033,0,0,0,0,2.41808,6.43784,12.1575,3.38361,6.5236e-05,6.5236e-05,6.5236e-05
49,309,0.98607,2.35015,1.6758,1.71256,0.2923,1,0.4975,0.14997,0,0,0,0,2.53875,6.56884,12.0637,3.44493,4.7616e-05,4.7616e-05,4.7616e-05
50,314.53,0.824,2.37623,1.40285,1.3675,0.2923,1,0.4975,0.14997,0,0,0,0,2.53875,6.56884,12.0637,3.44493,2.9204e-05,2.9204e-05,2.9204e-05
